X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,IDEN
-89.707024,-89.595103,-89.597321,-89.254237,-89.138393,-89.143898,-89.351494,-89.481556,-89.615212,-89.704417,-89.707024,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.655152,38.655948,38.743236,38.742019,38.736331,38.503088,38.518605,38.468465,38.472072,38.415667,38.655152,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
-88.939732,-88.705633,-88.588657,-88.58833,-88.60156,-88.601933,-88.60224,-88.712444,-88.818233,-88.938618,-88.941279,-88.939732,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.15232,42.153561,42.15359,42.066462,42.017925,41.719563,41.631389,41.630491,41.631351,41.628319,41.891752,42.15232,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
-89.148764,-88.919544,-88.574885,-88.745344,-88.745164,-89.144764,-89.148764,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.282038,40.282865,40.281501,40.098813,40.055191,40.048853,40.282038,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
-88.473182,-88.462284,-88.462207,-88.349187,-87.937645,-87.968777,-87.9666,-88.063437,-88.472073,-88.473182,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.791837,39.802309,39.879092,39.879451,39.879803,39.79235,39.685928,39.652555,39.651588,39.791837,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
-87.968777,-87.937645,-87.615182,-87.557513,-87.5324544938843,-87.532703,-87.532385282791,-87.5316666819744,-87.687437,-87.960179,-87.9666,-87.968777,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79235,39.879803,39.88163,39.868719,39.8829991187823,39.664868,39.6073049442215,39.4771109927429,39.48734,39.481309,39.685928,39.79235,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
-88.805325,-88.470906,-88.470865,-88.360654,-88.361745,-88.693531,-88.806789,-88.805325,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.216263,39.215029,39.171463,39.171118,38.910847,38.914617,38.911655,39.216263,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
-88.459475,-88.234949,-88.2473,-88.131938,-88.118191,-88.117905,-87.935309,-87.932858,-88.346987,-88.459957,-88.459475,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.617345,40.618166,40.99456,40.997839,40.516982,40.488086,40.485923,40.399401,40.398651,40.39885,40.617345,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
-89.177597,-89.115414,-89.129637,-88.704606,-88.706622,-88.70676,-89.151176,-89.150755,-89.177597,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.950311,38.085954,38.124747,38.125195,37.906797,37.863338,37.861999,37.945185,37.950311,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
-90.450227,-90.445506,-90.444343,-89.986068,-89.989018,-89.87351,-89.872463,-89.885235,-89.92468,-90.03795,-90.118966,-90.199556,-90.451502,-90.450227,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.276335,40.627843,40.714667,40.712257,40.625835,40.624482,40.513127,40.49248,40.435921,40.375041,40.235263,40.183945,40.188892,40.276335,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
-88.37453,-88.37452,-88.136053,-88.0594694927008,-88.067364,-88.02803,-88.059588,-88.132341,-88.160062,-88.1321634382725,-88.179647,-88.375332,-88.37453,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.907678,37.908432,37.916023,37.8666898040108,37.856051,37.799224,37.742608,37.697142,37.654332,37.57451700083,37.599093,37.599563,37.907678,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
