PRCP1,PRCP2,PRCP3,PRCP4,PRCP5,PRCP6,PRCP7
81.5455474853516,136.449111938477,167.224212646484,122.737777709961,102.536666870117,96.9411163330078,47.6306686401367
85.4248199462891,146.427642822266,244.811614990234,101.935173034668,77.7779083251953,124.057945251465,44.6521492004395
106.870956420898,135.554122924805,320.522033691406,87.277458190918,77.6349258422852,108.198097229004,33.9033317565918
105.980422973633,188.700149536133,247.287887573242,89.6045608520508,121.064994812012,100.761833190918,17.5535793304443
87.2037963867188,146.10693359375,202.758041381836,111.580047607422,86.0373764038086,84.7825775146484,59.1110076904297
95.8977813720703,159.131118774414,315.387084960938,114.457092285156,83.8898620605469,86.4719543457031,39.1880569458008
96.7111129760742,114.933334350586,218.322219848633,100.488891601563,69.4222259521484,83.5666656494141,27.9777774810791
71.1013488769531,151.606796264648,290.946075439453,209.8759765625,63.4718399047852,147.738296508789,41.8822479248047
106.68236541748,138.609313964844,216.446258544922,123.473197937012,97.2426452636719,85.0901412963867,59.2108306884766
58.6669464111328,136.655151367188,211.463195800781,144.336395263672,71.9162445068359,71.2013854980469,56.9243049621582
77.6520080566406,158.685531616211,257.071838378906,116.048675537109,72.8036727905273,109.576606750488,64.3404846191406
113.286888122559,182.372894287109,234.136444091797,105.305770874023,155.802444458008,79.7917785644531,21.8773307800293
111.511108398438,161.233337402344,292.433349609375,85.6722259521484,101.477783203125,115.144439697266,28.6833343505859
102.747772216797,188.563888549805,295.488891601563,121.194442749023,104.642227172852,53.3783340454102,25.685001373291
63.6384468078613,158.857620239258,245.921279907227,204.777389526367,53.4063377380371,58.2842407226563,38.9004020690918
65.2325592041016,161.039825439453,232.351623535156,88.7059020996094,98.5824737548828,102.280769348145,56.3511085510254
49.6100006103516,126.720001220703,256.309997558594,246.270004272461,59.9599990844727,40.7299995422363,43.7400016784668
99.7477722167969,212.984436035156,293.607788085938,120.738334655762,90.0733337402344,62.7672233581543,16.468334197998
126.858627319336,134.877639770508,294.648651123047,79.553825378418,69.8925933837891,111.598892211914,29.4396286010742
168.437225341797,91.5327758789063,193.390563964844,156.496109008789,65.2761077880859,66.1055526733398,42.6111106872559
97.9457778930664,178.209991455078,269.955993652344,126.908218383789,115.453567504883,63.4122200012207,22.5757789611816
45.2599296569824,174.133529663086,225.553848266602,66.6897888183594,93.9274215698242,118.879341125488,63.2158508300781
70.5528717041016,157.360549926758,334.986877441406,170.691299438477,53.5727729797363,94.1668472290039,49.1706428527832
93.965934753418,195.531845092773,270.025268554688,100.752403259277,76.350830078125,115.125549316406,17.8990726470947
158.691268920898,95.9898376464844,217.753677368164,121.739921569824,58.1056022644043,78.3955917358398,45.8589820861816
63.2948837280273,153.705108642578,201.136444091797,74.2937774658203,108.177780151367,96.5375595092773,59.6177749633789
86.0046157836914,128.038177490234,351.518951416016,227.866455078125,86.7139663696289,65.3912048339844,47.9536590576172
