EVI1,EVI2,EVI3,EVI4,EVI5,EVI6,EVI7,EVI8,EVI9,EVI10,EVI11,EVI12,EVI13
0.162301088161302,0.200656995099503,0.247509290995858,0.288901940912307,0.403251110177896,0.585854300269914,0.66315105133694,0.662395168574495,0.675651036824718,0.585800058965107,0.48652085799879,0.274430542341884,0.229612219574041
0.157385145019095,0.179305109201218,0.197638947706846,0.308672875161839,0.594411098615205,0.672585192222257,0.738921264405486,0.717851637364782,0.643941308844247,0.413259991928778,0.259150981120546,0.195521219813171,0.174039398223825
0.250305656492653,0.285843077293727,0.300923211439608,0.380242901186698,0.40246594576949,0.58331540889753,0.579282643505897,0.625142741086423,0.591133125360406,0.391654672974122,0.351611609805567,0.264231418623152,0.216435908115849
0.308441221166993,0.345208273606801,0.309433861678737,0.328384347352856,0.404829485379069,0.480014892992857,0.525214192195519,0.585356512487517,0.58201736060549,0.475477928632836,0.406814703699467,0.320020186122226,0.253751470210243
0.15198237095514,0.181881846517027,0.207539725230596,0.231362470449902,0.385657442417855,0.562261056818728,0.667458862654616,0.66523192739314,0.674734934005881,0.62183004027327,0.441048564681129,0.226850773990473,0.196658456013841
0.233046679400238,0.283424726811896,0.300475063808152,0.398650999136116,0.390965562143594,0.590331718874073,0.58618613727901,0.651044889280934,0.609054383488608,0.417716814561614,0.346769164609847,0.254708969984026,0.217587824203654
0.324616399765016,0.368387826013565,0.383613480806351,0.421259393548957,0.397186859750745,0.564142275571822,0.587580634307872,0.643509892606747,0.614539949226387,0.483839276790622,0.406118293952941,0.303144869565963,0.24915004267693
0.148181809136829,0.178793411758863,0.192836234026444,0.267262467826332,0.423749614982555,0.496277615577153,0.625096005305105,0.609373275648668,0.583812405006052,0.499561427480478,0.308443398528831,0.216858832526316,0.178842993458112
0.171869891187928,0.211607504799958,0.257306049782739,0.28899735640013,0.393024523540613,0.545539667998333,0.602590900615136,0.609136261972422,0.634436760181855,0.598968263752588,0.452497305876854,0.273714685439563,0.227189033557232
0.179729705636077,0.219053546988328,0.26210829034283,0.384266147757883,0.431594670100498,0.63193917308367,0.688552607328548,0.717324658589081,0.669660320308817,0.480136769065159,0.367178351520656,0.235576559405578,0.216435930129609
0.150357643135836,0.172862843672174,0.199386854916254,0.226276988367029,0.412905621598149,0.561965165375948,0.661627682652506,0.680867377452844,0.666663889797515,0.535906407954778,0.395048793028771,0.213180273234944,0.189614766162408
0.280067168688851,0.307143959280378,0.291736576249102,0.309700913218873,0.469192781598402,0.549140349025591,0.559271925536163,0.607649214941865,0.604740768605704,0.454888803310792,0.379698079127117,0.290242277117362,0.211697459296767
0.247969411753853,0.273840421289476,0.284952544214468,0.302617890272001,0.355680739131391,0.52367943410771,0.533732506424755,0.614612712735601,0.587921348393625,0.424689831497137,0.368164727862173,0.279495778367475,0.218924945390123
0.398925570601924,0.406606333799732,0.41993400589402,0.3979065694338,0.394366803419475,0.367429397722442,0.466715154208641,0.600579507434569,0.582970537278058,0.539086794990157,0.464066366386205,0.351604870982772,0.225230665391145
0.185518903006364,0.217991357296256,0.275766583059305,0.467305243334154,0.618239554415484,0.651408070018947,0.649691447352517,0.669500491892428,0.553096693674758,0.331334649008068,0.25598868084401,0.217147935318129,0.18398293682434
0.165544762110315,0.202647712677677,0.241297281881428,0.280604612619197,0.447084150146063,0.63806705535975,0.70142148648512,0.690695141097458,0.655440401039912,0.550780515065055,0.453636989085329,0.254873170515469,0.217581039518057
0.181469687335006,0.21537554399538,0.261252063041963,0.440219982196362,0.563114419979882,0.546160204227831,0.527094254380482,0.535845340129051,0.424554097984671,0.307489075178175,0.255207682340764,0.228911408604484,0.191050773944001
0.317770253101063,0.312186154508424,0.327173369732199,0.343112582581888,0.336044610385062,0.317458998334432,0.408574124898632,0.47911220367096,0.488190459913102,0.465586383536671,0.400948497961392,0.311093606100071,0.218230869697453
0.233611326048073,0.279325593711879,0.297358025731029,0.386381322224099,0.409895403388133,0.561377342334162,0.554664646825382,0.598045845466902,0.581874116167767,0.448029309853492,0.34962340564697,0.260974753730908,0.220058390085787
0.226972821676865,0.284465700542125,0.298236932375641,0.406404544217552,0.389831481202131,0.639847326212865,0.635917841204624,0.664025351918761,0.580185478568835,0.41703991293129,0.293939294950448,0.249364882657504,0.203285252142922
0.328698523213764,0.329656385763176,0.292486995886478,0.315488407344843,0.364310913513526,0.430449198106517,0.524886827042843,0.595850684624319,0.604558139064088,0.488692349964461,0.412334544338746,0.301332637818871,0.219434759868208
0.175360185085677,0.227195205498866,0.27762070583568,0.323099012102407,0.439173078330753,0.617276271988012,0.673527142912787,0.680706205579234,0.640206875995555,0.561504346946245,0.48482977135572,0.297046702103839,0.248724677568297
0.179172284378318,0.203024436447595,0.240420294630565,0.345677420774914,0.523084460703458,0.606032190407033,0.604351906598134,0.634433197480302,0.651762853250151,0.443006452682951,0.309602083529168,0.215391717976612,0.189502327000889
0.297680812217356,0.342809034076164,0.337794710688642,0.368760874827786,0.349886542682343,0.481522932773117,0.477346104050042,0.580719515928824,0.587153627615737,0.484282940105032,0.417815239735563,0.334447726129696,0.235281597926753
