X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,IDEN
-90.273686,-90.145991,-90.116509,-89.698555,-89.639265,-89.637049,-89.637831,-89.599593,-89.597321,-89.595103,-89.707024,-90.037105,-90.1815243815314,-90.19521,-90.20991,-90.1665946400156,-90.166409,-90.117707,-90.113327,-90.2072823011856,-90.230336,-90.2765837220256,-90.273686,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.999347,39.000046,38.998962,38.998979,38.999129,38.918364,38.918353,38.87453,38.743236,38.655948,38.655152,38.658449,38.6603728853105,38.68755,38.72605,38.7724501393051,38.772649,38.805748,38.849306,38.8987323228399,38.91086,38.9193384672116,38.999347,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
-89.143898,-89.138393,-89.138138,-88.695165,-88.698457,-88.698961,-89.144388,-89.143898,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.503088,38.736331,38.824244,38.826299,38.606304,38.474914,38.473878,38.503088,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
-90.372519,-90.349743,-90.3429152667372,-90.3402442817043,-90.288815,-90.271314,-90.260976059287,-90.036018,-89.903937,-89.899061,-90.036385,-90.035999,-90.2057286258827,-90.218708,-90.252484,-90.2527463239758,-90.322353,-90.3511641450603,-90.363926,-90.372519,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.323354,38.377609,38.3844273200276,38.3870946226363,38.438453,38.496052,38.5185267874078,38.30885,38.297203,38.220755,38.223125,38.13563,38.0882331831086,38.094365,38.127571,38.1277738262294,38.181593,38.2195444570945,38.236355,38.323354,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
-90.571754,-90.583534,-89.994405,-89.993755,-89.926037,-90.15375,-90.301801,-90.300666,-90.372969,-90.371253,-90.483385,-90.483063,-90.599105,-90.571754,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.839326,39.87675,39.87286,39.785329,39.522104,39.520315,39.520192,39.636541,39.665781,39.753388,39.753434,39.78924,39.79006,39.839326,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
-89.688486,-89.396192,-89.173,-89.172799,-89.091831,-88.939732,-88.941279,-89.414627,-89.426727,-89.62933,-89.685366,-89.688486,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.199112,42.201916,42.204241,42.150297,42.150681,42.15232,41.891752,41.886175,41.908418,41.901617,41.93034,42.199112,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
-91.3646166033233,-90.916071,-90.916609,-90.890082,-90.571754,-90.599105,-90.64599,-90.581055,-90.610502,-90.613694,-90.908735,-90.9353499463686,-90.937419,-91.03827,-91.064305,-91.100307,-91.148275,-91.174232,-91.1828755008197,-91.27614,-91.3057603349652,-91.367753,-91.3646166033233,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7587182263223,39.757168,39.845075,39.841,39.839326,39.79006,39.703368,39.521728,39.457447,39.395775,39.400208,39.3995195289071,39.400803,39.448436,39.494643,39.538695,39.545798,39.591975,39.5982331157954,39.665759,39.6862154700779,39.729029,39.7587182263223,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
-90.2057286258827,-90.035999,-90.036385,-89.899061,-89.703256,-89.592797,-89.595084,-89.663385,-89.6872213808531,-89.696559,-89.782035,-89.851048,-89.923185,-89.933095790915,-89.974221,-89.95491,-90.008353,-90.080959,-90.126006,-90.2057286258827,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0882331831086,38.13563,38.223125,38.220755,38.219404,38.219271,37.95531,37.831568,37.7964067184393,37.814337,37.855092,37.90398,37.870672,37.8800990582524,37.919217,37.966647,37.970179,38.015428,38.05057,38.0882331831086,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
-88.257783,-88.258608,-87.945923,-87.908113,-87.912286,-87.953898,-88.147814,-88.148044,-88.253851,-88.296989,-88.257783,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.731139,38.847521,38.850108,38.850107,38.570104,38.570094,38.569086,38.597988,38.599502,38.63419,38.731139,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
-88.70676,-88.706622,-88.37453,-88.375332,-88.412112,-88.708546,-88.70676,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.863338,37.906797,37.907678,37.599563,37.599912,37.599277,37.863338,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
-90.2552948876694,-90.248913,-90.18451,-90.18111,-90.1815243815314,-90.037105,-89.707024,-89.704417,-89.703256,-89.899061,-89.903937,-90.036018,-90.260976059287,-90.2552948876694,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.530877711821,38.544752,38.611551,38.65955,38.6603728853105,38.658449,38.655152,38.415667,38.219404,38.220755,38.297203,38.30885,38.5185267874078,38.530877711821,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
-89.926484,-89.8375948863256,-89.493216,-89.4014168110406,-89.397809,-89.396192,-89.688486,-89.898103,-89.91965,-89.927006876764,-89.926484,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.505787,42.5049103527915,42.501514,42.5004419310737,42.307171,42.201916,42.199112,42.196274,42.196824,42.5057904857746,42.505787,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
-89.885235,-89.872463,-89.770412,-89.675404,-89.592157,-89.553374,-89.554994,-89.330167,-89.327343,-89.26939,-89.26374,-89.602979,-89.714927,-89.717104,-89.92468,-89.885235,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.49248,40.513127,40.553149,40.553938,40.685015,40.706503,40.747637,40.748257,40.615566,40.594329,40.325344,40.320129,40.319218,40.435655,40.435921,40.49248,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
-89.704417,-89.615212,-89.481556,-89.351494,-89.143898,-89.144388,-89.147416,-89.592797,-89.703256,-89.704417,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.415667,38.472072,38.468465,38.518605,38.503088,38.473878,38.212896,38.219271,38.219404,38.415667,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
-88.370491,-88.1509,-88.027749,-87.9906,-87.968968,-87.9702008408039,-87.975819,-87.927468,-87.96221,-87.98877,-88.030884,-88.016311,-88.040861,-88.0594694927008,-88.136053,-88.37452,-88.370491,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.255413,38.256097,38.255661,38.259715,38.237389,38.2302710583858,38.197834,38.151946,38.100054,38.055591,38.030713,37.961574,37.891767,37.8666898040108,37.916023,37.908432,38.255413,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
-89.4014168110406,-89.3657986076635,-89.042898,-88.9925602268173,-88.940384860378,-88.939732,-89.091831,-89.172799,-89.173,-89.396192,-89.397809,-89.4014168110406,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5004419310737,42.5000259669515,42.496255,42.4958547198992,42.4954398274712,42.15232,42.150681,42.150297,42.204241,42.201916,42.307171,42.5004419310737,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140
-85.073861,-84.8026702061534,-84.802119,-84.8021190322638,-84.8024138785794,-85.068479,-85.073861,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.917823,40.922568713921,40.728163,40.7281459368726,40.5722128806467,40.56824,40.917823,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
-85.338552,-85.307781,-85.192094,-84.8037035726169,-84.8036449822556,-84.803234,-84.8028596219514,-84.8026702061534,-85.073861,-85.33603,-85.335643,-85.338552,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.17912,41.264158,41.264209,41.2712583305706,41.2525616835482,41.121414,40.9893740520086,40.922568713921,40.917823,40.917082,41.00525,41.17912,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
-85.447014,-85.390539,-85.201146,-85.200628,-85.206508,-85.206886,-85.219901,-85.44433,-85.447014,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.566929,40.566898,40.567242,40.495827,40.479373,40.386018,40.379034,40.37914,40.566929,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
-85.684515,-85.63063,-85.629327,-85.297575,-85.29654,-85.440054,-85.56632,-85.686783,-85.684515,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.350049,39.350205,39.45275,39.453275,39.268291,39.195617,39.132761,39.130859,39.350049,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
