VOD1,VOD2,VOD3,VOD4,VOD5,VOD6,VOD7,VOD8,VOD9,VOD10,VOD11,VOD12,VOD13,VOD14,VOD15,VOD16,VOD17,VOD18,VOD19,VOD20,VOD21,VOD22,VOD23,VOD24,VOD25,VOD26,VOD27,VOD28,VOD29,VOD30,VOD31,VOD32,VOD33,VOD34,VOD35,VOD36,VOD37,VOD38,VOD39,VOD40,VOD41,VOD42,VOD43,VOD44,VOD45,VOD46,VOD47,VOD48,VOD49,VOD50,VOD51,VOD52,VOD53,VOD54,VOD55,VOD56,VOD57,VOD58,VOD59,VOD60,VOD61,VOD62,VOD63,VOD64,VOD65,VOD66,VOD67,VOD68,VOD69,VOD70,VOD71,VOD72,VOD73,VOD74,VOD75,VOD76,VOD77,VOD78,VOD79,VOD80,VOD81,VOD82,VOD83,VOD84,VOD85,VOD86,VOD87,VOD88,VOD89,VOD90,VOD91,VOD92,VOD93,VOD94,VOD95,VOD96,VOD97,VOD98,VOD99,VOD100,VOD101,VOD102,VOD103,VOD104,VOD105,VOD106,VOD107,VOD108,VOD109,VOD110,VOD111,VOD112,VOD113,VOD114,VOD115,VOD116,VOD117,VOD118,VOD119,VOD120,VOD121,VOD122
0.402499542,0.402499542,0.402499542,0.408116836,0.411744322,0.422163956,0.421038742,0.423985471,0.409870503,0.409870503,0.404837765,0.379784716,0.363271424,0.315868798,0.310544034,0.291550178,0.298931314,0.298931314,0.297033229,0.309237458,0.320498204,0.338556482,0.335461263,0.340256777,0.337150695,0.337150695,0.334250878,0.338694948,0.335345072,0.349833401,0.358714845,0.369008977,0.379764422,0.379764422,0.389010176,0.402122762,0.412950152,0.432831535,0.432831535,0.443231924,0.443231924,0.443231924,0.445003329,0.424845743,0.404688157,0.389219309,0.389219309,0.389219309,0.380108186,0.380108186,0.3678182,0.358318167,0.35060202,0.344004365,0.342901237,0.336573004,0.340332782,0.340332782,0.340671008,0.344640906,0.349251523,0.354925566,0.360169637,0.363022145,0.370621676,0.370621676,0.375312035,0.376638579,0.383313444,0.373740001,0.363226321,0.353161671,0.352961599,0.352961599,0.343742729,0.349478194,0.350243751,0.364161262,0.370057031,0.37595558,0.384024442,0.384024442,0.389804393,0.391664402,0.397739933,0.402737731,0.390027843,0.380926249,0.373218867,0.373218867,0.361206085,0.358771055,0.358771055,0.357641066,0.370211015,0.374346653,0.394146694,0.394146694,0.407561928,0.421488216,0.441578254,0.470304662,0.478902767,0.48735475,0.488222744,0.488222744,0.496541299,0.498101076,0.499434739,0.494000131,0.492697695,0.494145812,0.495023017,0.495023017,0.494338999,0.492316521,0.488329128,0.494526955,0.494526955,0.492736144,0.480437255,0.480437255
0.292389821,0.2830726,0.2830726,0.2830726,0.28284469,0.276207201,0.28463489,0.296490972,0.307175243,0.314035491,0.314035491,0.324660335,0.323252188,0.328567732,0.3269294,0.324750661,0.321462138,0.310935199,0.310935199,0.308237683,0.299253369,0.289956418,0.277597862,0.274436866,0.272797694,0.269309613,0.269309613,0.268312675,0.268312675,0.261899624,0.266230822,0.267472223,0.271785649,0.267234239,0.267234239,0.267234239,0.263707628,0.260404746,0.255629606,0.255629606,0.253127793,0.248229914,0.248229914,0.243332035,0.243332035,0.243332035,0.243332035,0.235951653,0.228571271,0.226675932,0.226675932,0.226675932,0.227865658,0.227865658,0.22587739,0.226366579,0.226895241,0.2302991,0.2302991,0.230317096,0.228942538,0.231054561,0.224940975,0.223571918,0.217925665,0.223235682,0.223235682,0.222707954,0.230021085,0.236863652,0.251592658,0.257617047,0.263767487,0.266867775,0.266867775,0.271836874,0.273088446,0.276234005,0.279183059,0.283143957,0.285469063,0.292253305,0.292253305,0.29739002,0.303182379,0.309397381,0.31552089,0.312823774,0.312896354,0.31133318,0.31133318,0.308257754,0.308257754,0.305688039,0.314053362,0.318234673,0.324030182,0.318379669,0.318379669,0.318379669,0.311079068,0.307617735,0.300134595,0.304695639,0.303901303,0.305614808,0.305614808,0.311093988,0.309935878,0.311865212,0.304902098,0.304320235,0.302175206,0.306476422,0.306476422,0.306481381,0.306414053,0.309388929,0.312796069,0.304897069,0.29765557,0.291562481
0.219245479,0.218900855,0.218900855,0.228520286,0.235586448,0.238052983,0.245132381,0.243286742,0.249555526,0.245504148,0.24253554,0.232027449,0.226860994,0.222906718,0.216977463,0.217720444,0.214486543,0.219106824,0.220210252,0.229435546,0.234671875,0.239788386,0.242037804,0.237581589,0.237478111,0.243754105,0.243419123,0.254431784,0.254431784,0.262032003,0.282118136,0.275154541,0.278515276,0.265739616,0.254797222,0.247276406,0.243972273,0.234286523,0.227627445,0.227627445,0.227734848,0.226191469,0.226930224,0.221229335,0.221229335,0.221229335,0.221229335,0.216090103,0.2125828,0.204122826,0.196507259,0.193042658,0.192361918,0.192361918,0.187427003,0.186498921,0.186322931,0.187620823,0.187997664,0.186937607,0.181954046,0.180924563,0.175665542,0.174706418,0.170179925,0.167311318,0.162619281,0.156329449,0.159140012,0.158487387,0.167394983,0.173464348,0.177871213,0.17829674,0.188655808,0.185380195,0.180211458,0.173639246,0.168319114,0.170269601,0.167837289,0.173272963,0.177271251,0.191272692,0.196800439,0.201948097,0.214150368,0.218536962,0.224741624,0.22876318,0.230555218,0.2366443,0.2366443,0.240911811,0.26475873,0.276851079,0.290615068,0.288198647,0.294106712,0.293034299,0.293945595,0.294385643,0.289247857,0.284157045,0.284184244,0.279411109,0.279875123,0.273558478,0.276058226,0.270826551,0.279083203,0.279658748,0.285469413,0.278478004,0.278478004,0.276784848,0.261266734,0.251200516,0.236108084,0.232487322,0.219979095,0.229206376
0.28996894,0.279709633,0.279709633,0.279709633,0.284245098,0.277273011,0.293176543,0.302018229,0.316293965,0.31809042,0.31809042,0.324836728,0.329527552,0.331874364,0.352910503,0.360004132,0.372178915,0.363451687,0.363451687,0.370068908,0.35615904,0.344328153,0.318992097,0.315655139,0.308450184,0.309161541,0.309161541,0.307405576,0.307405576,0.308469938,0.313977896,0.311854322,0.312133677,0.30411721,0.30411721,0.30411721,0.300886097,0.29562807,0.289638517,0.289638517,0.291192759,0.295768876,0.295768876,0.300344993,0.300344993,0.300344993,0.300344993,0.290743992,0.281142992,0.271832822,0.271832822,0.271832822,0.26976094,0.26976094,0.264266413,0.263388789,0.263677502,0.262076882,0.262076882,0.260896784,0.258522077,0.256476299,0.253288522,0.256667208,0.256464602,0.265501168,0.265501168,0.270202239,0.27497778,0.282906178,0.28853413,0.294607022,0.295272408,0.303714186,0.303714186,0.308517446,0.305654824,0.312977392,0.296760642,0.295601731,0.284455801,0.300747354,0.300747354,0.301974152,0.320522073,0.339304282,0.364656935,0.358770303,0.361819733,0.353988748,0.353988748,0.346596385,0.346596385,0.335803099,0.349157975,0.371367915,0.391803977,0.401650687,0.401650687,0.401650687,0.398080532,0.408167323,0.391656607,0.384151231,0.371753607,0.361603628,0.361603628,0.353014815,0.343721491,0.336210105,0.328662317,0.336695062,0.338542185,0.344615759,0.344615759,0.354207173,0.354341844,0.359458546,0.35879117,0.356564842,0.353429023,0.344886067
0.21553915,0.214700738,0.214700738,0.214700738,0.221043468,0.220431082,0.22968469,0.230402949,0.23619596,0.235884234,0.235884234,0.234488426,0.232957975,0.231957801,0.235747913,0.238261812,0.239366064,0.235060674,0.235060674,0.237292026,0.229797797,0.225087707,0.208688431,0.204155846,0.198159626,0.198771606,0.198771606,0.195923771,0.195923771,0.195582818,0.200822571,0.192538625,0.188504165,0.179271988,0.179271988,0.179271988,0.175984978,0.167634104,0.163465791,0.163465791,0.166123947,0.167593141,0.167593141,0.169062336,0.169062336,0.169062336,0.169062336,0.169142659,0.169222982,0.163779619,0.163779619,0.163779619,0.155243631,0.155243631,0.142092705,0.138066624,0.13131008,0.129903653,0.129903653,0.127147652,0.128941776,0.128665633,0.13672305,0.139461257,0.144053553,0.143463227,0.143463227,0.146509587,0.148366699,0.14776872,0.1504204,0.151999887,0.155435767,0.157787512,0.157787512,0.159070671,0.160229665,0.16176258,0.165258972,0.172079896,0.174492279,0.186834618,0.186834618,0.194543943,0.203788252,0.215975162,0.227990481,0.228215514,0.229666807,0.231448839,0.231448839,0.231424725,0.231424725,0.232842774,0.245896352,0.255540332,0.264913031,0.274183873,0.274183873,0.274183873,0.278194601,0.285926878,0.284028389,0.276656511,0.271300163,0.269532282,0.269532282,0.262634114,0.270368526,0.270780426,0.284873154,0.282261853,0.288272924,0.282832905,0.282832905,0.279253287,0.275167573,0.267950411,0.264711641,0.263052797,0.261322773,0.258222055
0.228552099,0.231768846,0.231768846,0.231768846,0.241208801,0.244695196,0.264279629,0.269132333,0.27944233,0.274374388,0.274374388,0.275989628,0.264214414,0.257249925,0.239779251,0.240162007,0.233825822,0.235810288,0.235810288,0.23811746,0.238130705,0.240414799,0.234179205,0.227516433,0.22276735,0.222053146,0.222053146,0.216680716,0.216680716,0.213719327,0.22334819,0.215326478,0.213034449,0.19971425,0.19971425,0.19971425,0.194599175,0.183870285,0.176163901,0.176163901,0.179253949,0.190523204,0.190523204,0.201792458,0.201792458,0.201792458,0.201792458,0.198499909,0.19520736,0.18349435,0.18349435,0.18349435,0.176860402,0.176860402,0.164022576,0.160463962,0.156691503,0.153244459,0.153244459,0.14979511,0.146054181,0.142507614,0.140799305,0.1428163,0.142787291,0.141251441,0.141251441,0.143391456,0.144110939,0.143926854,0.148572008,0.151384816,0.156298458,0.157011605,0.157011605,0.160592343,0.164053322,0.164470181,0.173734801,0.177564618,0.183702476,0.187341864,0.187341864,0.191643733,0.196875164,0.199961184,0.214735182,0.222745792,0.230907713,0.233427193,0.233427193,0.240379772,0.240379772,0.243881626,0.24253727,0.246042427,0.248570824,0.256028171,0.256028171,0.256028171,0.264731472,0.271612327,0.278972808,0.269684626,0.269265213,0.263974233,0.263974233,0.255018519,0.260900901,0.256156473,0.263758481,0.251483956,0.25261151,0.239018153,0.239018153,0.225841522,0.224876373,0.211626463,0.210109503,0.218180749,0.228152083,0.22463823
0.242106091,0.244995769,0.244995769,0.244995769,0.247608273,0.249308063,0.249593337,0.250643504,0.25059963,0.258008022,0.258008022,0.258862102,0.265177799,0.272717365,0.284584202,0.282585325,0.283369367,0.274202796,0.274202796,0.270895431,0.262784218,0.253914118,0.23866035,0.234644141,0.230624494,0.235147247,0.235147247,0.234046136,0.234046136,0.23565551,0.26825805,0.274929824,0.288036983,0.27373681,0.27373681,0.27373681,0.256005858,0.245407612,0.223974733,0.223974733,0.202813003,0.197551178,0.197551178,0.192289353,0.192289353,0.192289353,0.192289353,0.193693315,0.195097276,0.195343736,0.195343736,0.195343736,0.19488344,0.19488344,0.192176208,0.189738085,0.187787382,0.187457653,0.187457653,0.185289254,0.188724848,0.189307936,0.199442303,0.203236711,0.208826127,0.211943578,0.211943578,0.216247561,0.220520609,0.223085206,0.230699266,0.235758777,0.240579725,0.250719348,0.250719348,0.256512547,0.264729966,0.273819249,0.281440293,0.278913188,0.278171512,0.283023646,0.283023646,0.28090412,0.290259495,0.295745846,0.30779822,0.304721241,0.307101639,0.303760978,0.303760978,0.298906098,0.298906098,0.294614648,0.305612382,0.321297521,0.335076785,0.336241167,0.336241167,0.336241167,0.32933887,0.333289903,0.315842383,0.309385464,0.299657309,0.299325108,0.299325108,0.296222817,0.303836309,0.305006665,0.317180961,0.313719508,0.318849842,0.313677774,0.313677774,0.309344771,0.305586883,0.298603312,0.296237393,0.290971864,0.287377011,0.285248127
0.201684446,0.211496029,0.211496029,0.220724822,0.216931382,0.222013693,0.207661361,0.207661361,0.20311261,0.191208462,0.175217147,0.163245864,0.176421433,0.180360457,0.190835292,0.190835292,0.20261505,0.199615547,0.209608325,0.202929898,0.200286413,0.192961951,0.188346451,0.188346451,0.187589589,0.188664067,0.186247803,0.196145886,0.196145886,0.206968853,0.217323146,0.217323146,0.230040968,0.222412966,0.222594346,0.200500403,0.183332268,0.165099113,0.165099113,0.165099113,0.144070189,0.134414454,0.123465422,0.113369841,0.113369841,0.113369841,0.113369841,0.113369841,0.111636698,0.121776056,0.131915414,0.152757917,0.163668915,0.163668915,0.158732425,0.158732425,0.167671428,0.153404219,0.146672153,0.120506602,0.117914087,0.109244465,0.111402756,0.111402756,0.111669477,0.11226856,0.114026659,0.110788896,0.112000425,0.110041357,0.119513146,0.119513146,0.121328926,0.131271817,0.141554672,0.156150767,0.158092034,0.161479874,0.166472615,0.166472615,0.168263324,0.173425461,0.178092848,0.183341505,0.182310413,0.182596937,0.184002008,0.184002008,0.182365387,0.185836044,0.187894124,0.201195965,0.201195965,0.207685337,0.220511758,0.220511758,0.23264363,0.238092953,0.247578099,0.242156746,0.238381817,0.235787556,0.238257473,0.238257473,0.234679431,0.242961821,0.246844415,0.265376568,0.272669708,0.281670536,0.287325644,0.287325644,0.293831194,0.292530275,0.295822537,0.291137701,0.290455463,0.285843629,0.285843629,0.285843629,0.284451685,0.286706771
0.197119329,0.205310129,0.205310129,0.217862005,0.220841202,0.228544954,0.219803859,0.212456534,0.211566484,0.20415369,0.193238888,0.176860359,0.180309163,0.179056431,0.190816094,0.194120209,0.199103755,0.194875666,0.200010638,0.199364663,0.198437043,0.192648472,0.191662671,0.196813091,0.201491591,0.214601911,0.22089314,0.24740993,0.24740993,0.263010746,0.287401419,0.290269479,0.300910757,0.281662958,0.275555041,0.239797865,0.215830041,0.192001334,0.167184338,0.167184338,0.13484498,0.127905338,0.120335241,0.111887331,0.111887331,0.111887331,0.111887331,0.112551449,0.111216767,0.113911274,0.116870847,0.119014261,0.119237719,0.119237719,0.119352879,0.119906097,0.120605115,0.117340991,0.115993879,0.109904277,0.109464029,0.106807316,0.109570627,0.112837548,0.114626186,0.116077425,0.120786032,0.119996783,0.118977196,0.11703496,0.121452886,0.127012737,0.128632341,0.141208313,0.151238764,0.172830947,0.178378445,0.187434666,0.197253834,0.199601373,0.203013626,0.207537166,0.21142908,0.216946773,0.215885007,0.217650687,0.216730895,0.217068328,0.2151129,0.217083483,0.21636567,0.223133219,0.223133219,0.227637173,0.241272739,0.245786391,0.253274874,0.256493946,0.261942767,0.259388018,0.253101134,0.251658367,0.243976714,0.243125785,0.237259545,0.240618191,0.238910852,0.244436351,0.250734244,0.25595346,0.265771696,0.268710955,0.273249586,0.274183714,0.275897688,0.274364708,0.271026176,0.270285365,0.266741183,0.262587412,0.256550093,0.256461874
0.207965434,0.213136795,0.213136795,0.220487708,0.222617936,0.227502104,0.220236325,0.220236325,0.220879048,0.206968572,0.197561584,0.174734777,0.177939412,0.171106219,0.178813501,0.178813501,0.183338953,0.186849084,0.195622714,0.196401655,0.198143525,0.196879585,0.206176004,0.206176004,0.209108179,0.217063263,0.226120971,0.242042107,0.242042107,0.24603053,0.25885947,0.25885947,0.267824947,0.275068649,0.287036703,0.275394136,0.255915115,0.246381037,0.246381037,0.246381037,0.224793528,0.204359003,0.180484003,0.166565816,0.166565816,0.166565816,0.166565816,0.166565816,0.16964168,0.176208425,0.182775171,0.185230314,0.182631545,0.182631545,0.179230183,0.179230183,0.17804852,0.175800103,0.171838318,0.165058366,0.16017174,0.157220288,0.152822173,0.152822173,0.147411281,0.144856756,0.140777624,0.1367498,0.135776374,0.134492556,0.139298962,0.139298962,0.14000089,0.149531874,0.154899701,0.171477604,0.174402579,0.181297378,0.182894977,0.182894977,0.184485027,0.185850332,0.186937175,0.189114865,0.190479607,0.191410217,0.196141854,0.196141854,0.198207056,0.203599978,0.208229779,0.212320475,0.212320475,0.213312331,0.208389259,0.208389259,0.202694517,0.20473939,0.203686126,0.203341755,0.201076041,0.20192035,0.203312763,0.203312763,0.201473972,0.209133559,0.21129374,0.229703874,0.231684605,0.239749472,0.236003725,0.236003725,0.23730086,0.238862708,0.235313845,0.242578527,0.244937534,0.251661218,0.251661218,0.251661218,0.2557177,0.254509375
