yield,tmax_apr,tmax_may,tmax_jun,tmax_jul,prcp_apr,prcp_may,prcp_jun,prcp_jul
4.194061627,26.94488525,31.19171524,33.04782104,34.50531769,197.2272644,133.3863678,137.9431763,186.3011322
7.157391997,19.69148636,23.37956619,27.37834167,28.90687943,64.96595764,128.2302094,273.5812378,253.7940216
9.17085526,16.24800682,21.38882065,25.12904739,27.09906387,81.54554749,136.4491119,167.2242126,122.7377777
7.172859635,19.6135006,23.48887062,27.32250023,28.71177483,59.56999969,123.5299988,280.1000061,241.8899994
9.197967714,17.86322212,22.61749649,26.06964874,27.14673424,89.19959259,138.738678,218.3459625,111.9895477
10.83018658,17.46556664,21.89287949,25.88042831,27.24497986,64.94299316,174.8325043,249.3298492,84.73915863
8.746102742,19.46736336,23.96743774,27.3762722,28.60442543,61.45185471,144.7799988,265.9755554,150.3574066
8.311580032,18.40320587,24.5680275,27.13696289,28.09506226,85.42481995,146.4276428,244.811615,101.935173
8.328031587,19.20491982,24.54771042,28.04529953,29.197052,76.15828705,141.8943024,225.7083435,77.85515594
5.414834183,19.58851051,25.25609398,28.70701599,30.07340431,106.8709564,135.5541229,320.5220337,87.27745819
6.357241745,20.25806427,25.24801064,28.83140945,30.42574883,105.980423,188.7001495,247.2878876,89.60456085
8.934004115,16.77979088,21.8828373,25.39767456,27.04820442,87.20379639,146.1069336,202.7580414,111.5800476
8.882190799,18.60258102,24.14888954,27.26888275,28.19722939,69.64626312,166.9008179,226.0146484,158.0424194
8.987679337,18.57175255,24.71695518,27.36076546,28.42160797,75.8075943,104.4198227,226.8911285,51.45379639
7.715166701,18.45283318,24.82521248,27.39682198,28.46673393,124.1626434,85.77966309,236.8252869,48.85059357
6.306830366,19.14517403,24.96867752,28.23755455,29.59817886,95.89778137,159.1311188,315.387085,114.4570923
7.116269994,18.11394691,24.16084862,26.86159325,27.9348259,60.28500366,136.7992859,237.1004639,153.9819794
5.273986224,20.19907379,25.06809998,28.54444504,30.35573578,96.71111298,114.9333344,218.3222198,100.4888916
7.653000413,19.17149925,23.75870895,27.17099953,28.26499939,54.72999954,143.9799957,244.2200012,167.7100067
6.808324282,20.4334259,25.23789215,29.42068863,30.71232986,175.9161682,87.71035767,187.7563171,155.7616119
6.924747583,19.75427246,24.46866035,28.02088547,29.32815552,89.03147888,167.2203217,243.3314056,245.4957275
7.224158897,17.78058624,23.31776237,26.40335464,27.91951561,73.01667023,129.7922211,326.1159973,124.30867
7.79392201,19.44516182,23.16504288,27.21772385,28.66009903,59.93708038,140.4197235,262.295166,196.1933289
8.903929895,18.96850395,23.21233177,26.99497986,28.25787735,47.62587357,138.0611572,240.2000732,239.8133087
8.615583035,18.08876419,22.8554554,26.48026848,27.59818268,65.556427,127.7973862,234.444397,115.7700882
5.844001109,17.82553673,23.93398476,26.54754257,27.80870438,71.10134888,151.6067963,290.9460754,209.8759766
6.501642214,19.3521595,25.17432213,28.52278709,29.81807137,109.6899948,126.2787704,296.4077759,76.05432129
4.703673752,20.01810074,25.03741074,28.36995316,30.21843338,112.6349945,121.3605576,234.867218,106.6788864
8.332654447,16.55124092,21.90794563,25.35924911,27.35613251,106.6823654,138.609314,216.4462585,123.4731979
4.698281947,17.29789734,23.20960617,26.06673241,27.72714806,76.1969986,134.0905457,362.3131714,142.6899567
9.130282841,18.37864494,23.12662315,26.60419655,27.68813896,58.66694641,136.6551514,211.4631958,144.3363953
7.872039211,17.97200394,23.06117249,26.32516861,27.62565613,83.75789642,147.5457001,243.7442932,103.1290512
9.429279238,17.32283974,22.12792587,25.69520187,26.92905617,77.65200806,158.6855316,257.0718384,116.0486755
7.935375157,18.1918869,23.84613991,26.84436989,28.02585793,60.28419876,132.6420898,262.6731873,161.3357086
7.906844761,19.13331795,24.16458321,27.47345161,28.52060509,59.091362,180.2453461,262.9372864,171.2881775
9.187362761,18.8632431,24.3007431,27.48308945,28.53315544,64.74700928,151.684021,173.8594055,119.523262
6.947800168,19.4330616,24.40870857,28.01403809,29.182724,82.8020401,154.0455627,221.5023956,170.0772247
6.940164778,20.0862999,25.10961342,28.85136032,30.31354904,113.2868881,182.3728943,234.1364441,105.3057709
6.116527861,19.61962891,24.98279572,28.32786942,29.88001823,111.5111084,161.2333374,292.4333496,85.67222595
8.709906084,18.50162506,23.60223579,26.89738083,27.96347809,88.27639008,147.6761169,239.9377594,119.2149963
8.079584779,19.27101898,23.56093597,27.16840363,28.33834839,58.60778809,154.3447876,282.4428711,198.4381409
8.512118425,16.38866615,21.67080688,25.25566673,27.33338737,86.66000366,134.6699982,164.8699951,125.4300003
8.549126147,18.46414757,24.11371803,27.2075367,28.13502693,65.85073853,155.3852692,244.6925201,172.7652588
8.969227508,18.48423767,23.05625153,26.85637474,28.08439636,50.39360809,126.7490387,209.0759735,162.4859619
5.791899941,20.92659378,25.31162262,29.40750885,31.07526779,102.7477722,188.5638885,295.4888916,121.1944427
7.349097978,19.29637718,24.60783195,28.34913063,29.51613235,99.80119324,148.925705,229.8486176,92.83847809
8.12056496,19.46168709,24.14570999,27.57086754,28.78158569,63.63844681,158.8576202,245.9212799,204.7773895
8.886588785,18.64400291,24.49130058,27.46074677,28.60156822,68.67425537,118.7142639,221.6483154,80.87129974
