TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7
26.9448852539063,31.1917152404785,33.0478210449219,34.5053176879883,33.6184005737305,30.1430854797363,26.8161659240723
19.6914863586426,23.379566192627,27.3783416748047,28.9068794250488,28.0383396148682,27.915843963623,19.5511684417725
16.2480068206787,21.3888206481934,25.1290473937988,27.099063873291,26.3229866027832,25.211799621582,17.1419563293457
19.6135005950928,23.4888706207275,27.3225002288818,28.7117748260498,28.0209674835205,27.9118328094482,19.5914516448975
17.8632221221924,22.6174964904785,26.0696487426758,27.1467342376709,26.5813846588135,26.3368759155273,18.12864112854
17.4655666351318,21.892879486084,25.880428314209,27.2449798583984,26.7509479522705,26.1352500915527,17.7605876922607
19.4673633575439,23.9674377441406,27.3762722015381,28.6044254302979,28.2748165130615,28.2245388031006,19.9238586425781
18.403205871582,24.5680274963379,27.136962890625,28.0950622558594,27.7749347686768,27.386739730835,19.6356086730957
19.2049198150635,24.5477104187012,28.0452995300293,29.1970520019531,28.7251720428467,28.3618144989014,20.7856254577637
19.5885105133057,25.2560939788818,28.7070159912109,30.0734043121338,29.2109775543213,28.2675762176514,20.980396270752
20.2580642700195,25.248010635376,28.8314094543457,30.4257488250732,29.2575302124023,28.2509136199951,21.3272876739502
16.7797908782959,21.8828372955322,25.3976745605469,27.0482044219971,26.2557754516602,25.4603824615479,17.4903583526611
18.6025810241699,24.148889541626,27.2688827514648,28.197229385376,27.9493408203125,27.790943145752,19.7468013763428
18.5717525482178,24.7169551849365,27.3607654571533,28.4216079711914,28.1598873138428,27.422212600708,20.0573596954346
18.4528331756592,24.8252124786377,27.396821975708,28.4667339324951,28.3328514099121,27.3274116516113,20.0977668762207
19.1451740264893,24.968677520752,28.2375545501709,29.5981788635254,29.0166702270508,28.0533809661865,20.7242317199707
18.1139469146729,24.1608486175537,26.86159324646,27.9348258972168,27.5273265838623,27.3964557647705,19.0691967010498
20.1990737915039,25.0680999755859,28.5444450378418,30.3557357788086,28.8553771972656,27.8840732574463,20.9896049499512
19.1714992523193,23.7587089538574,27.1709995269775,28.2649993896484,27.7416133880615,27.974666595459,19.5633869171143
20.4334259033203,25.2378921508789,29.4206886291504,30.712329864502,29.1198883056641,28.3372611999512,21.6722259521484
19.7542724609375,24.4686603546143,28.0208854675293,29.3281555175781,28.7358665466309,28.343656539917,20.3985862731934
17.7805862426758,23.3177623748779,26.4033546447754,27.9195156097412,27.1839294433594,26.8863945007324,18.3426380157471
19.445161819458,23.1650428771973,27.2177238464355,28.660099029541,27.8021907806396,27.8201904296875,19.2328853607178
18.9685039520264,23.2123317718506,26.9949798583984,28.2578773498535,27.3834266662598,27.6674308776855,18.9721202850342
18.0887641906738,22.8554553985596,26.4802684783936,27.5981826782227,26.8882312774658,26.7485656738281,18.3384265899658
17.8255367279053,23.9339847564697,26.5475425720215,27.8087043762207,27.4082813262939,26.9376029968262,18.754753112793
19.3521595001221,25.1743221282959,28.5227870941162,29.8180713653564,29.191520690918,28.1657276153564,20.9245128631592
20.0181007385254,25.037410736084,28.3699531555176,30.218433380127,28.7800979614258,27.8328247070313,20.8412628173828
16.5512409210205,21.9079456329346,25.3592491149902,27.3561325073242,26.3936290740967,25.3607234954834,17.4635028839111
17.2978973388672,23.2096061706543,26.0667324066162,27.7271480560303,27.1761932373047,26.5362663269043,18.1115341186523
18.3786449432373,23.1266231536865,26.6041965484619,27.688138961792,26.9983196258545,27.1952819824219,18.7388572692871
17.9720039367676,23.0611724853516,26.3251686096191,27.6256561279297,26.9908332824707,26.6901149749756,18.397590637207
17.3228397369385,22.1279258728027,25.6952018737793,26.9290561676025,26.3559589385986,25.8769607543945,17.7261028289795
18.1918869018555,23.8461399078369,26.8443698883057,28.025857925415,27.446382522583,27.3904285430908,18.8018741607666
19.1333179473877,24.1645832061768,27.4734516143799,28.5206050872803,28.3349418640137,28.1599578857422,19.9849090576172
18.8632431030273,24.3007431030273,27.4830894470215,28.5331554412842,28.2957038879395,27.9396877288818,20.1077041625977
19.4330615997314,24.4087085723877,28.0140380859375,29.1827239990234,28.6125087738037,28.2892150878906,20.5380172729492
20.0862998962402,25.1096134185791,28.8513603210449,30.313549041748,29.2408866882324,28.354944229126,21.4148750305176
19.61962890625,24.982795715332,28.3278694152832,29.8800182342529,28.8755378723145,27.9557418823242,20.7811813354492
18.5016250610352,23.6022357940674,26.8973808288574,27.9634780883789,27.421573638916,27.2926349639893,18.9765090942383
19.2710189819336,23.5609359741211,27.1684036254883,28.3383483886719,27.6591682434082,27.9140663146973,19.4787178039551
16.3886661529541,21.6708068847656,25.2556667327881,27.3333873748779,26.4840316772461,25.3138332366943,17.3820972442627
18.464147567749,24.1137180328369,27.2075366973877,28.1350269317627,27.7546787261963,27.786600112915,19.4263877868652
18.4842376708984,23.0562515258789,26.8563747406006,28.0843963623047,27.2035350799561,27.3191413879395,18.5111904144287
20.9265937805176,25.3116226196289,29.4075088500977,31.075267791748,29.568531036377,28.3633422851563,21.4333953857422
19.2963771820068,24.6078319549561,28.3491306304932,29.5161323547363,28.8648223876953,28.4245147705078,21.0920715332031
19.4616870880127,24.1457099914551,27.5708675384521,28.7815856933594,28.3718776702881,28.2437496185303,20.074987411499
18.6440029144287,24.4913005828857,27.4607467651367,28.6015682220459,28.3230075836182,27.7838153839111,20.2584247589111
17.143087387085,21.8027877807617,25.7119541168213,27.1207294464111,26.5879898071289,25.8481845855713,17.6295795440674
18.7443332672119,23.6834411621094,27.1391677856445,28.1754837036133,27.6956996917725,27.7267761230469,19.3787631988525
20.2387027740479,24.9826164245605,28.4275932312012,30.3562717437744,28.8372764587402,27.6777782440186,20.7684593200684
18.5402565002441,24.39040184021,27.2895946502686,28.2806797027588,28.0007381439209,27.6373043060303,19.8711204528809
19.888500213623,24.1680641174316,27.767333984375,29.201774597168,28.6391944885254,28.5750007629395,20.2261295318604
21.1210289001465,25.448673248291,29.6836948394775,31.4626159667969,29.7308864593506,28.3973979949951,21.4634857177734
19.6275634765625,25.2898540496826,28.8884963989258,30.1283168792725,29.2045822143555,28.3091049194336,21.1426620483398
18.1235656738281,22.7775802612305,26.6024265289307,27.8030109405518,27.0967292785645,26.6818695068359,18.1815490722656
19.3340587615967,24.3013324737549,27.7300643920898,28.8682403564453,28.5176620483398,28.2556705474854,20.2798690795898
18.9100856781006,24.5634689331055,27.7813663482666,28.9821128845215,28.6154136657715,28.140962600708,20.60325050354
20.8126583099365,25.434627532959,29.3841361999512,30.9953460693359,29.6367225646973,28.4873390197754,21.6062870025635
16.9207897186279,21.4429168701172,25.5043563842773,27.0438003540039,26.5333461761475,25.8055019378662,17.4828472137451
19.0683307647705,24.1065769195557,27.4927062988281,28.4858093261719,28.2537059783936,28.1960678100586,19.8949851989746
18.1795215606689,24.5509147644043,26.9855213165283,27.9319458007813,27.6971187591553,27.1463985443115,19.4722652435303
18.8455219268799,23.3750858306885,26.9115905761719,28.0864849090576,27.2832889556885,27.6491203308105,19.0205059051514
20.3060302734375,25.1366901397705,28.6783962249756,30.4425258636475,29.0640811920166,27.950532913208,21.0488529205322
20.1098003387451,25.3970203399658,29.2598857879639,30.5986251831055,29.1836681365967,28.4912910461426,21.582857131958
17.8227443695068,22.4248352050781,26.1621265411377,27.355920791626,26.8714199066162,26.3747158050537,17.9793167114258
16.7992706298828,21.4948062896729,25.5274066925049,27.0903129577637,26.5662727355957,25.7313957214355,17.4500541687012
18.6011009216309,23.8711128234863,27.1865997314453,28.1299228668213,27.6954460144043,27.6903076171875,19.2757225036621
16.8135643005371,24.0424957275391,25.7459659576416,27.3761348724365,27.0296630859375,26.1429195404053,18.0823440551758
16.6979789733887,23.8519401550293,25.6726951599121,27.2933902740479,26.9840755462646,26.0697059631348,17.9083366394043
17.399866104126,23.8785133361816,26.3763179779053,27.5331363677979,27.3141555786133,26.6096382141113,18.6205444335938
16.9597492218018,24.0731735229492,25.8579387664795,27.3274211883545,26.7478675842285,26.0110340118408,18.105073928833
17.4183082580566,24.2235450744629,26.6589508056641,27.6849155426025,27.0703563690186,26.4236907958984,18.9514350891113
17.0935344696045,24.1843376159668,26.3463878631592,27.6084766387939,27.3610763549805,26.8259334564209,18.5504741668701
16.9150848388672,24.2023391723633,26.1580829620361,27.4991931915283,27.1930656433105,26.7257499694824,18.3304023742676
17.2617950439453,24.2375202178955,26.471752166748,27.5639305114746,27.1358337402344,26.6103801727295,18.7717723846436
19.9227733612061,25.4624919891357,28.8796539306641,29.8450164794922,29.048999786377,28.2886962890625,21.2900924682617
18.7971534729004,25.2121334075928,27.4145736694336,28.4569835662842,27.5476379394531,27.0936412811279,19.9815902709961
17.214542388916,24.2409954071045,26.150785446167,27.5026779174805,26.7605495452881,26.0974197387695,18.3055992126465
20.2136116027832,25.4877243041992,29.0791664123535,30.0180110931396,28.932975769043,28.1551856994629,21.2898750305176
16.2646198272705,22.9968795776367,25.3738746643066,26.8835182189941,26.2844142913818,25.4859447479248,17.4197807312012
17.9044628143311,24.7919998168945,26.7751312255859,27.9398651123047,27.0316123962402,26.7233333587646,19.180591583252
16.658670425415,23.8433990478516,25.8505268096924,27.2542610168457,26.9682426452637,26.3511867523193,17.8577289581299
20.1481418609619,25.4956512451172,29.472448348999,30.4312076568604,29.19407081604,28.4136943817139,21.5993175506592
17.3951892852783,24.3246421813965,26.4453887939453,27.6678638458252,27.149694442749,26.4912090301514,18.6602153778076
17.8358993530273,24.6397113800049,26.8039722442627,27.9743518829346,27.139612197876,26.6659965515137,19.1021480560303
17.6885147094727,24.3012256622314,26.8832511901855,28.0170726776123,27.3298759460449,26.5270347595215,19.2163944244385
17.4203510284424,24.4205665588379,26.4190044403076,27.6150417327881,26.732421875,26.3628273010254,18.7305641174316
16.9719505310059,24.2413749694824,26.1342887878418,27.4897308349609,27.1344509124756,26.6155567169189,18.377758026123
19.7691669464111,25.6812896728516,28.6458339691162,29.6295166015625,28.699031829834,27.818000793457,20.865161895752
16.9843788146973,23.4847679138184,26.0277824401855,27.5027198791504,27.2348823547363,26.3576908111572,18.151927947998
17.0184154510498,24.1841907501221,25.933012008667,27.4020156860352,26.8623065948486,26.1348781585693,18.313081741333
19.9023456573486,25.5135402679443,29.0773277282715,30.0391330718994,29.2002658843994,28.4449977874756,21.4430465698242
16.4772033691406,23.233190536499,25.5522403717041,27.0854187011719,26.5240230560303,25.6878452301025,17.5955905914307
16.1406593322754,22.7449493408203,25.332389831543,27.2608604431152,26.5265808105469,25.5665187835693,17.3866062164307
16.0797119140625,22.8422584533691,25.2290000915527,26.7137184143066,26.1623115539551,25.3716011047363,17.2594356536865
17.3224029541016,24.2804832458496,26.3113307952881,27.5993404388428,26.9701080322266,26.3050422668457,18.4503765106201
16.4784145355225,23.3120536804199,25.5699939727783,27.12255859375,26.616153717041,25.7925510406494,17.5307731628418
16.8023071289063,24.1150188446045,26.0019207000732,27.3843822479248,27.0617427825928,26.4993648529053,18.1799507141113
17.3170127868652,23.6235466003418,26.2352294921875,27.6522216796875,27.3497066497803,26.5219917297363,18.3697700500488
