EVI1,EVI2,EVI3,EVI4,EVI5,EVI6,EVI7,EVI8,EVI9,EVI10,EVI11,EVI12,EVI13
0.324199181464249,0.342903018329388,0.334962737006859,0.381516014152468,0.375675228113062,0.532214472594717,0.527695460463271,0.646794703625666,0.606091411111326,0.525468598856364,0.497650258856719,0.406829492260516,0.365270758788742
0.208959394332949,0.250295783180168,0.273129643108516,0.37812521376946,0.470994207022832,0.564464402602312,0.585324227653432,0.618736905569279,0.534386326047353,0.409635497921435,0.315147618912076,0.243826734160594,0.211014761241339
0.162301088161302,0.200656995099503,0.247509290995858,0.288901940912307,0.403251110177896,0.585854300269914,0.66315105133694,0.662395168574495,0.675651036824718,0.585800058965107,0.48652085799879,0.274430542341884,0.229612219574041
0.206522551612378,0.260410459112389,0.295665673084392,0.32613288967835,0.573276485851403,0.550238813557662,0.580377597707316,0.621327863791946,0.561535847779731,0.415347180264636,0.330661475018423,0.256262993852805,0.225302680847617
0.161246664716297,0.186783074230953,0.220364707792057,0.257841047183901,0.467523620588706,0.634410648128007,0.700336681112187,0.724489285963523,0.688937574304304,0.486337838586753,0.367479354996202,0.216690102632456,0.195545675725221
0.16993012031545,0.206791320697116,0.2493235653779,0.292684078686281,0.468508245965815,0.664773766567621,0.719614464304551,0.719928858026042,0.695427416277718,0.568692554652015,0.500222456683828,0.277416657263085,0.233399448855248
0.18048131315031,0.203121660835012,0.23187632473685,0.459945463338706,0.640205723301255,0.675479351171725,0.682025128421498,0.688874735480114,0.554145611548708,0.323186880436695,0.239890057741479,0.202236946963114,0.180987800392072
0.157385145019095,0.179305109201218,0.197638947706846,0.308672875161839,0.594411098615205,0.672585192222257,0.738921264405486,0.717851637364782,0.643941308844247,0.413259991928778,0.259150981120546,0.195521219813171,0.174039398223825
0.17166612759532,0.206651454926076,0.238289649918044,0.404575181941812,0.606158025393525,0.683213250471203,0.68156216020224,0.710072964345326,0.616689971178759,0.335874674791707,0.257115930784496,0.194856924110044,0.170721728854178
0.250305656492653,0.285843077293727,0.300923211439608,0.380242901186698,0.40246594576949,0.58331540889753,0.579282643505897,0.625142741086423,0.591133125360406,0.391654672974122,0.351611609805567,0.264231418623152,0.216435908115849
0.308441221166993,0.345208273606801,0.309433861678737,0.328384347352856,0.404829485379069,0.480014892992857,0.525214192195519,0.585356512487517,0.58201736060549,0.475477928632836,0.406814703699467,0.320020186122226,0.253751470210243
0.15198237095514,0.181881846517027,0.207539725230596,0.231362470449902,0.385657442417855,0.562261056818728,0.667458862654616,0.66523192739314,0.674734934005881,0.62183004027327,0.441048564681129,0.226850773990473,0.196658456013841
0.166046596950061,0.183789804887886,0.213188251036081,0.327064681493825,0.596728051652575,0.669070645771121,0.710773719551524,0.71150952199969,0.660187335070909,0.389291991706797,0.263249707459114,0.193710439454287,0.17454772493507
0.168851797025991,0.202182326629159,0.215036958437506,0.324228282323789,0.641185325422395,0.680337352707042,0.692918265949603,0.714511685937557,0.640419505817934,0.348595058499306,0.250231183512698,0.194033329951157,0.173806254448508
0.172546513729921,0.205106787795355,0.20720051010096,0.29230690268861,0.567433464310568,0.661686949118181,0.707428409426348,0.701895373178659,0.636891499756782,0.465937583119238,0.274676165476855,0.183006542374697,0.170301898400704
0.233046679400238,0.283424726811896,0.300475063808152,0.398650999136116,0.390965562143594,0.590331718874073,0.58618613727901,0.651044889280934,0.609054383488608,0.417716814561614,0.346769164609847,0.254708969984026,0.217587824203654
