PRCP1,PRCP2,PRCP3,PRCP4,PRCP5,PRCP6,PRCP7
197.227264404297,133.386367797852,137.943176269531,186.301132202148,126.795455932617,102.835227966309,46.9943161010742
64.9659576416016,128.230209350586,273.581237792969,253.794021606445,72.4148406982422,35.4252433776855,43.5602226257324
81.5455474853516,136.449111938477,167.224212646484,122.737777709961,102.536666870117,96.9411163330078,47.6306686401367
59.5699996948242,123.529998779297,280.100006103516,241.889999389648,84.6800003051758,39.5299987792969,44.3899993896484
89.199592590332,138.738677978516,218.345962524414,111.989547729492,62.0459594726563,126.720245361328,73.7254028320313
64.9429931640625,174.832504272461,249.329849243164,84.7391586303711,111.008148193359,130.019058227539,63.2409553527832
61.4518547058105,144.779998779297,265.975555419922,150.357406616211,49.39111328125,62.4937019348145,39.2599983215332
85.4248199462891,146.427642822266,244.811614990234,101.935173034668,77.7779083251953,124.057945251465,44.6521492004395
76.1582870483398,141.894302368164,225.708343505859,77.8551559448242,60.3501739501953,73.635627746582,34.1958808898926
106.870956420898,135.554122924805,320.522033691406,87.277458190918,77.6349258422852,108.198097229004,33.9033317565918
105.980422973633,188.700149536133,247.287887573242,89.6045608520508,121.064994812012,100.761833190918,17.5535793304443
87.2037963867188,146.10693359375,202.758041381836,111.580047607422,86.0373764038086,84.7825775146484,59.1110076904297
69.6462631225586,166.900817871094,226.0146484375,158.042419433594,37.0721206665039,114.419403076172,44.2778816223145
75.8075942993164,104.419822692871,226.891128540039,51.4537963867188,55.1987953186035,94.4491653442383,45.1380615234375
124.162643432617,85.7796630859375,236.825286865234,48.8505935668945,42.6118812561035,82.5828170776367,45.2136764526367
95.8977813720703,159.131118774414,315.387084960938,114.457092285156,83.8898620605469,86.4719543457031,39.1880569458008
60.2850036621094,136.799285888672,237.100463867188,153.981979370117,73.9583282470703,108.654769897461,39.7273063659668
96.7111129760742,114.933334350586,218.322219848633,100.488891601563,69.4222259521484,83.5666656494141,27.9777774810791
54.7299995422363,143.979995727539,244.220001220703,167.710006713867,72.8300018310547,77.9000015258789,47.5499992370605
175.916168212891,87.7103576660156,187.756317138672,155.761611938477,82.6277770996094,50.2462158203125,50.0207061767578
89.0314788818359,167.220321655273,243.331405639648,245.495727539063,66.9018020629883,66.6888656616211,36.2148513793945
73.0166702270508,129.792221069336,326.115997314453,124.308670043945,72.4522247314453,72.8871078491211,50.3322219848633
59.9370803833008,140.419723510742,262.295166015625,196.193328857422,75.0740280151367,54.5831909179688,56.8452758789063
47.6258735656738,138.061157226563,240.200073242188,239.81330871582,92.7524871826172,62.8211288452148,54.1809005737305
65.5564270019531,127.797386169434,234.444396972656,115.770088195801,72.1614990234375,101.309700012207,63.8231964111328
71.1013488769531,151.606796264648,290.946075439453,209.8759765625,63.4718399047852,147.738296508789,41.8822479248047
109.689994812012,126.278770446777,296.407775878906,76.0543212890625,60.1161766052246,105.97802734375,32.6792602539063
112.634994506836,121.360557556152,234.867218017578,106.678886413574,84.6255493164063,96.5072174072266,36.7361106872559
106.68236541748,138.609313964844,216.446258544922,123.473197937012,97.2426452636719,85.0901412963867,59.2108306884766
76.1969985961914,134.090545654297,362.313171386719,142.689956665039,84.7488250732422,109.00838470459,46.6127243041992
58.6669464111328,136.655151367188,211.463195800781,144.336395263672,71.9162445068359,71.2013854980469,56.9243049621582
83.7578964233398,147.545700073242,243.744293212891,103.129051208496,66.1179428100586,95.2001571655273,68.1699523925781
77.6520080566406,158.685531616211,257.071838378906,116.048675537109,72.8036727905273,109.576606750488,64.3404846191406
60.2841987609863,132.64208984375,262.673187255859,161.335708618164,88.1943130493164,82.6269683837891,46.4100303649902
59.0913619995117,180.245346069336,262.937286376953,171.288177490234,31.627555847168,98.9959716796875,40.8942527770996
64.7470092773438,151.684020996094,173.859405517578,119.523262023926,54.6456489562988,77.7865905761719,42.1772613525391
82.8020401000977,154.045562744141,221.502395629883,170.077224731445,50.059814453125,63.7033271789551,36.0275917053223
113.286888122559,182.372894287109,234.136444091797,105.305770874023,155.802444458008,79.7917785644531,21.8773307800293
111.511108398438,161.233337402344,292.433349609375,85.6722259521484,101.477783203125,115.144439697266,28.6833343505859
88.2763900756836,147.676116943359,239.937759399414,119.214996337891,88.4894409179688,86.4655532836914,60.7027778625488
58.6077880859375,154.344787597656,282.44287109375,198.438140869141,87.1189270019531,71.4996871948242,49.8667259216309
86.6600036621094,134.669998168945,164.869995117188,125.430000305176,86.75,90.4300003051758,49.5
65.8507385253906,155.385269165039,244.692520141602,172.765258789063,73.4697952270508,103.38671875,45.1043930053711
50.3936080932617,126.749038696289,209.075973510742,162.485961914063,80.0013885498047,58.9918060302734,59.7959671020508
102.747772216797,188.563888549805,295.488891601563,121.194442749023,104.642227172852,53.3783340454102,25.685001373291
99.8011932373047,148.925704956055,229.848617553711,92.8384780883789,74.6818237304688,71.0419616699219,29.6887035369873
63.6384468078613,158.857620239258,245.921279907227,204.777389526367,53.4063377380371,58.2842407226563,38.9004020690918
